,2017,2018,2019,2020,2021,2022
Ene,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Feb,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Mar,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Abr,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
May,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Jun,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Jul,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Ago,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Sep,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Oct,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Nov,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
Dic,1.13%,1.47%,1.47%,1.47%,1.47%,1.47%
